X,Y,SEGMENT
26083.0508,179373.0938,1
26071.4297,179356.2969,1
26071.0293,179323.7969,1
26081.7305,179310.5938,1
26100.5508,179296.9063,1
26122.4102,179284.2969,1
26131.0801,179270.5938,1
26139.2402,179258,1
26160.0898,179244.2969,1
26173.8691,179217.4063,1
26168.3906,179187,1
26160.8496,179165.5938,1
26154.8301,179143.7031,1
26142.2402,179114.7969,1
26133.6797,179093.9063,1
26126.6699,179064.4063,1
26119.1602,179034.5,1
26107.5801,179005.5,1
26101.0195,178996.2969,1
26083.3008,178983,1
26060.0391,178960.0938,1
26043.3594,178939.7031,1
26023.6699,178907.7031,1
26012.5703,178889.4063,1
25985.7598,178863.9063,1
25968.0508,178850.5938,1
25956.8906,178848,1
25950.8906,178821.0938,1
25945.8906,178799.7969,1
25935.3105,178777.9063,1
25926.2207,178761.5938,1
25912.0898,178738.7031,1
25897.9707,178713.2969,1
25885.9004,178679.2031,1
25881.4297,178651.2969,1
25881.0098,178623.2969,1
25885.1191,178609.0938,1
25897.3301,178599,1
25909.0391,178586.7969,1
25926.3398,178570.5938,1
25935.0098,178557.5,1
25942.1699,178542.7969,1
25957.4902,178509.7969,1
25961.0996,178494.5938,1
25991.5703,178485,1
26005.3203,178470.9063,1
26016.5508,178450.5938,1
26024.7598,178422.7031,1
26016.2207,178396.2031,1
26012.75,178372.4063,1
26021.9395,178354.5938,1
26034.6602,178344.5,1
26050.9492,178327.2969,1
26058.1191,178308.5,1
26055.1406,178288.7031,1
26042.5195,178269.2969,1
26018.75,178245.9063,1
25999.0293,178225,1
25987.4395,178200.5938,1
25981.4199,178177.7031,1
25994.2109,178112.2969,1
26008.9609,178092,1
26011.5293,178071.7031,1
26020.4199,178045.7969,1
26030.5605,178037.9063,1
26040.9609,178026,1
26048.6094,178007.7031,1
26049.6406,177992,1
26046.6094,177972.2031,1
26046.1094,177960.5,1
26054.75,177954.9063,1
26067.4492,177957.5,1
26084.7207,177961,1
26102.5098,177952.4063,1
26116.7402,177947.9063,1
26127.9199,177945.2969,1
26133.5195,177934.2031,1
26141.6602,177927.0938,1
26151.3105,177928.5938,1
26162.5,177919.5,1
26173.1699,177911.2969,1
26180.2793,177913.9063,1
26187.8906,177926.5938,1
26200.0703,177939.2969,1
26207.6992,177935.2031,1
26216.3496,177916.4063,1
26223.9805,177911.9063,1
26231.6094,177906.7969,1
26238.7305,177893.0938,1
26241.2891,177878.4063,1
26238.25,177861.5938,1
26236.2402,177842.7969,1
26238.8008,177828.0938,1
26234.75,177808.7969,1
26228.6797,177790.5,1
26221.5898,177772.7031,1
26213.9805,177755.9063,1
26207.3809,177746.7969,1
26194.1797,177743.2031,1
26181.9805,177746.7969,1
26173.8594,177735.5938,1
26175.9102,177721.4063,1
26185.0703,177710.7031,1
26193.7207,177698,1
26197.2891,177685.7969,1
26199.8496,177664.5,1
26210.5293,177658.9063,1
26215.1191,177638.5938,1
26223.2695,177621.9063,1
26231.4102,177609.2031,1
26225.8398,177591.4063,1
26213.6602,177577.7031,1
26200.9805,177562.9063,1
26202.5098,177554.7969,1
26216.2305,177549.7031,1
26230.9805,177538.5938,1
26233.0293,177527.9063,1
26231.5195,177514.7031,1
26228.9902,177503,1
26228.5098,177479.5938,1
26218.8691,177464.4063,1
26207.1895,177458.7969,1
26191.4492,177451.2031,1
26175.7207,177435.9063,1
26169.6406,177416.5938,1
26162.0508,177390.7031,1
26158,177378,1
26153.9492,177364.2969,1
26146.8496,177354.0938,1
26133.6504,177345.5,1
26122.4805,177339.4063,1
26111.3105,177329.7031,1
26105.2305,177318.5938,1
26099.6602,177299.7031,1
26093.0801,177280.4063,1
26090.0508,177269.2969,1
26090.0508,177264.2031,1
26098.6895,177258.0938,1
26100.2305,177250,1
26096.1699,177244.9063,1
26083.4707,177245.9063,1
26074.3203,177251,1
26070.7695,177246.4063,1
26067.7305,177237.7969,1
26060.6406,177215.4063,1
26055.5801,177198.0938,1
26049.5,177188,1
26041.8809,177178.7969,1
26035.3008,177163.5938,1
26019.3906,177145.2969,1
26006.0098,177147.2969,1
25988.75,177144.7969,1
25983.6895,177136.0938,1
25985.75,177120.4063,1
25984.25,177104.2031,1
25983.7793,177084.2969,1
25990.9102,177069.5938,1
26004.6309,177060.5,1
26019.2695,177054.7031,1
26044.0605,177055.4063,1
26019.9199,176958.9063,1
26008.75,176942.5,1
26003.1309,176928.5,1
26005.9004,176918.2969,1
26009.4707,176907.5938,1
26011.0098,176899.5,1
26007.4609,176894.9063,1
25995.2891,176889.2969,1
25988.2109,176875.0938,1
25986.2109,176852.7031,1
25983.7207,176829.2969,1
25973.6094,176803.4063,1
25960.9492,176786.5938,1
25941.6602,176783.5938,1
25928.4609,176783.5,1
25912.2402,176770.7969,1
25899.0801,176749,1
25888.9609,176727.0938,1
25880.3691,176705.2969,1
25886.5,176685,1
25889.5703,176673.2969,1
25879.4395,176655.5,1
25876.9395,176636.7031,1
25867.8398,176614.2969,1
25858.7402,176592.5,1
25857.7793,176565.5,1
25870.9902,176554.4063,1
25898.9199,176548.7969,1
25923.2891,176549.9063,1
25946.1309,176551.9063,1
25969.9902,176549.9063,1
25986.1309,176552.0938,1
26020.2793,176549.2031,1
26025.1602,176551.2969,1
26034.4199,176556.9063,1
26042.7207,176559.5938,1
26047.9805,176554.2031,1
26048.4297,176542,1
26048.2793,176520.5938,1
26048.3203,176491.0938,1
26048.3594,176460.5938,1
26045.8594,176428.0938,1
26041.3301,176393.0938,1
26038.3105,176372.7969,1
26031.2207,176355.5,1
26020.8594,176332.2969,1
26011.3398,176317.5,1
26003.9492,176298,1
26008.5605,176272,1
26021.2402,176250.7969,1
26035.9395,176235.5938,1
26040.0293,176222.9063,1
26037.5098,176209.2031,1
26032.9492,176196.5,1
26021.0898,176185,1
26011.9297,176179.7031,1
26003.1504,176174.5,1
25996.5801,176161.7969,1
25999.6504,176146.0938,1
26008.7207,176138.5,1
26021.6797,176135,1
26033.4395,176138.5,1
26043.6895,176143.2031,1
26053.3496,176137.0938,1
26045.2402,176124.4063,1
26038.6504,176110.7031,1
26039.6895,176093.9063,1
26051.8809,176090.9063,1
26068.6504,176093.9063,1
26081.3496,176094.9063,1
26087.9707,176082.2969,1
26090.0195,176069.0938,1
26108.8203,176071.0938,1
26121.0098,176070.5938,1
26129.1504,176061,1
26124.6094,176041.0938,1
26128.6895,176029,1
26151.0391,176029,1
26171.8691,176032,1
26186.0898,176036.5938,1
26197.7695,176038.0938,1
26214.5508,176029,1
26227.2695,176014.7969,1
26239.4902,175999.5938,1
26242.0391,175989.4063,1
26232.3906,175986.9063,1
26217.1309,176001.5938,1
26203.9102,176008.7031,1
26188.1602,176007.7031,1
26193.2695,175989.4063,1
26214.1191,175974.2031,1
26220.2305,175966,1
26211.6191,175944.7031,1
26207.0605,175928.4063,1
26208.6191,175908.0938,1
26225.3906,175899,1
26244.7207,175888.2969,1
26258.4395,175880.2031,1
26258.4707,175860.9063,1
26246.7793,175859.9063,1
26224.4297,175858.4063,1
26215.3008,175844.5938,1
26225.9902,175832,1
26221.4395,175818.2031,1
26213.3203,175806,1
26209.2793,175788.7969,1
26211.8496,175769.5,1
26216.4395,175755.7031,1
26215.4492,175739,1
26209.3691,175721.2031,1
26200.2402,175708,1
26189.0801,175698.7969,1
26179.9492,175687.0938,1
26172.8594,175667.2969,1
26171.7813,175663.9531,1
26166.7891,175648.5,1
26159.6797,175642.9063,1
26142.4102,175638.9063,1
26130.2305,175630.2031,1
26133.3105,175610.4063,1
26126.7109,175600.2031,1
26112.4902,175598.7031,1
26100.8008,175599.7031,1
26081,175590.5938,1
26074.9297,175572.7969,1
26074.4395,175556.5,1
26070.9102,175536.7031,1
26058.2207,175526,1
26049.5996,175516.9063,1
26047.0801,175500.0938,1
26039.4707,175491,1
26047.6094,175482.2969,1
26055.75,175472.2031,1
26046.6191,175464,1
26036.4609,175459,1
26033.9395,175445.7031,1
26031.9297,175429,1
26022.7227,175416.4688,1
26004.0293,175415.4063,1
25987.8008,175410.2969,1
25983.75,175401.7031,1
25989.8691,175388,1
25997.5098,175372.7031,1
25991.9492,175360,1
25977.7793,175341.2031,1
25970.1797,175329,1
25964.1191,175313.2969,1
25965.1602,175298.5,1
25970.2695,175283.2969,1
25975.3809,175266,1
25974.8906,175253.7969,1
25962.2402,175236.5,1
25953.1191,175224.7969,1
25950.5996,175211.0938,1
25957.75,175190.2969,1
25963.3594,175176.0938,1
25968.9805,175158.2969,1
25977.1309,175146.0938,1
25987.3008,175132.9063,1
25997.4707,175124.7969,1
26007.1094,175128.4063,1
26021.2305,175134.9063,1
26034.8691,175125.2031,1
26032.8594,175103.9063,1
26031.8691,175081.5,1
26036.4805,175059.2031,1
26043.0996,175047.5,1
26051.2402,175036.2969,1
26063.4297,175041.4063,1
26070.0508,175032.2969,1
26066.5098,175017.5,1
26056.3809,174995.7031,1
26044.7207,174975.4063,1
26046.2598,174958.0938,1
26059.4805,174951,1
26073.7109,174951.5,1
26091.9805,174967.2969,1
26101.1094,174974.9063,1
26106.1992,174973.4063,1
26112.8203,174960.2031,1
26112.8398,174945.4063,1
26112.3496,174931.2031,1
26113.8906,174920.5938,1
26118.4707,174914.5,1
26124.5703,174911.9063,1
26125.5996,174903.2969,1
26133.7305,174896.2031,1
26144.4102,174891.0938,1
26148.4902,174880.9063,1
26139.8691,174867.7031,1
26127.6895,174860.0938,1
26118.5508,174853.5,1
26110.9492,174835.2031,1
26114.5293,174819,1
26123.6797,174812.2969,1
26140.4492,174813.4063,1
26153.6602,174813.4063,1
26160.2695,174805.2969,1
26158.2598,174788.5,1
26154.2305,174763.5938,1
26158.8398,174737.2031,1
26163.9395,174720.9063,1
26174.1191,174707.2031,1
26184.8008,174697.0938,1
26196.5,174686.4063,1
26209.2305,174665.0938,1
26217.3809,174647.7969,1
26222.9902,174633.0938,1
26233.6797,174619.9063,1
26248.4297,174605.2031,1
26255.0605,174589.9063,1
26262.6895,174580.7969,1
26267.7793,174569.5938,1
26278.4707,174554.4063,1
26290.1602,174554.4063,1
26301.8594,174546.7969,1
26313.5391,174550.4063,1
26333.8594,174555.5,1
26338.4395,174547.2969,1
26352.1699,174538.2031,1
26363.3594,174532.0938,1
26368.4492,174524,1
26378.1094,174514.7969,1
26386.25,174510.2969,1
26393.8809,174502.7031,1
26405.0801,174486.4063,1
26408.1406,174475.2969,1
26394.9395,174468.5938,1
26387.3105,174475.7031,1
26374.0898,174484.4063,1
26358.8301,174493.5,1
26342.5801,174488.4063,1
26334.4707,174475.2031,1
26347.6895,174466.5,1
26365.4805,174459,1
26376.6797,174445.7969,1
26374.6504,174435.5938,1
26356.3809,174425.9063,1
26339.6191,174419.2969,1
26329.9805,174403.5,1
26330.5,174392.9063,1
26343.7402,174375.5938,1
26343.75,174366.5,1
26342.2402,174350.2031,1
26340.2402,174328.9063,1
26347.3594,174324.2969,1
26354.4902,174311.0938,1
26347.3906,174300.4063,1
26337.7402,174292.2969,1
26334.1992,174280.0938,1
26356.5898,174254.2031,1
26358.1191,174244.5938,1
26353.0703,174226.2969,1
26355.1094,174214.0938,1
26356.1504,174199.2969,1
26350.5801,174184.5938,1
26344.5,174167.7969,1
26345.0195,174155.5938,1
26354.6895,174145.5,1
26367.9199,174129.2031,1
26362.3594,174108.9063,1
26355.7598,174103.7969,1
26334.9297,174096.2031,1
26330.8906,174082.5,1
26336.4902,174070.7969,1
26346.6699,174054,1
26346.6992,174032.2031,1
26336.0508,174015.9063,1
26324.8594,174019.5,1
26299.9609,174026.0938,1
26292.8594,174012.7969,1
26295.9199,174001.5938,1
26290.3594,173981.2969,1
26274.6309,173962.5,1
26256.3398,173960,1
26243.1094,173972.0938,1
26232.9492,173969.5938,1
26224.3398,173953.2969,1
26245.1699,173949.7969,1
26247.2207,173938.0938,1
26238.0898,173927.4063,1
26218.7891,173917.2969,1
26209.6602,173904.5,1
26200.5293,173889.7969,1
26191.4004,173877.5938,1
26175.1504,173866.4063,1
26162.9902,173845.5938,1
26158.9395,173827.2969,1
26165.5801,173800.2969,1
26161.0293,173774.9063,1
26150.9102,173745,1
26132.6406,173730.7031,1
26122.9902,173720,1
26107.25,173712.4063,1
26095.0703,173696.0938,1
26084.9297,173684.9063,1
26073.25,173680.9063,1
26056.4902,173666.7031,1
26045.8301,173658,1
26020.8105,173640.4063,1
25998.8691,173616.7031,1
25985.1895,173606.5,1
25959.3398,173584.0938,1
25940.0801,173567.7969,1
25917.2598,173556.5938,1
25891.9004,173542.4063,1
25871.6191,173531.2031,1
25865.0391,173521,1
25858.9805,173505.2031,1
25843.7695,173493.5938,1
25830.0703,173490,1
25820.9492,173483.2969,1
25809.7695,173486.4063,1
25798.0898,173490.4063,1
25783.8809,173485.2969,1
25775.7891,173472.0938,1
25773.7891,173457.4063,1
25777.3594,173447.2031,1
25783.4707,173436.5938,1
25787.5605,173424.9063,1
25788.6094,173407.0938,1
25787.1191,173389.2969,1
25780.0391,173376.5938,1
25776.5098,173363.9063,1
25770.9492,173354.2031,1
25764.3594,173347.0938,1
25755.2402,173338,1
25750.6895,173326.2969,1
25753.7695,173311,1
25744.6895,173284.0938,1
25738.1309,173262.2031,1
25731.0508,173252.5938,1
25719.8906,173245.4063,1
25711.7891,173234.7969,1
25696.5898,173217.5,1
25683.4102,173208.7969,1
25678.3398,173204.2031,1
25667.6992,173195.0938,1
25593.0996,173178.7031,1
25584.4902,173172.0938,1
25579.4395,173157.4063,1
25580.4902,173142.7031,1
25580,173131.5,1
25565.8008,173122.2969,1
25552.1309,173105,1
25546.0801,173086.7031,1
25535.9492,173072,1
25529.8906,173058.7969,1
25513.6699,173044,1
25508.1094,173029.2969,1
25499.5195,173011.5,1
25487.3691,172995.2031,1
25474.7109,172977.9063,1
25469.1504,172967.7969,1
25460.5293,172961.5938,1
25459.0195,172956.5938,1
25458.0195,172948.4063,1
25455.5,172938.2969,1
25445.8691,172931.7031,1
25433.6797,172932.0938,1
25423.0293,172928.5938,1
25419.4902,172921.5,1
25413.4297,172906.2031,1
25407.3496,172898.0938,1
25396.6992,172892,1
25395.2109,172875.7031,1
25398.2891,172857.9063,1
25391.2109,172845.2031,1
25387.6699,172836.5938,1
25380.0801,172824.4063,1
25371.4805,172812.7031,1
25373.5391,172799.5,1
25380.6406,172798.5,1
25389.7793,172799.5,1
25397.4102,172792.9063,1
25401.5098,172775.5938,1
25406.6094,172759.9063,1
25412.2207,172749.2031,1
25412.7793,172724.7969,1
25409.7598,172710.5938,1
25397.6504,172670.5,1
25390.0801,172649.0938,1
25385.5391,172637.4063,1
25378.9492,172628.2969,1
25371.3496,172621.5938,1
25374.4297,172606.9063,1
25368.3594,172595.7031,1
25363.3008,172587.0938,1
25368.4297,172559.5938,1
25374.0508,172541.9063,1
25387.3105,172516,1
25396.4805,172495.2031,1
25396.0098,172477.9063,1
25390.4492,172466.2031,1
25388.4395,172457.0938,1
25384.9199,172439.7969,1
25387.9902,172426.0938,1
25398.1504,172426.0938,1
25406.2695,172426.5938,1
25411.8594,172422,1
25419.9902,172419,1
25430.6406,172424.0938,1
25441.8008,172429.7031,1
25452.4707,172427.2031,1
25454.0098,172413.9063,1
25448.9707,172398.7031,1
25455.0801,172389.5938,1
25461.6992,172376.4063,1
25467.8203,172366.7031,1
25481.5508,172352,1
25657.0703,172424.2969,1
25683.0703,172369,1
25691.2598,172332.9063,1
25703,172303.5,1
25713.6504,172307,1
25730.9004,172315.2031,1
25753.2109,172329.4063,1
25778.5605,172344.7031,1
25812.0293,172364.5938,1
25848.0195,172387,1
25874.4004,172396.5938,1
25903.8203,172413.4063,1
25941.8398,172437.2969,1
25967.7109,172447.5938,1
26021.3496,172464.7031,1
26071.4902,172484.2969,1
26097.8906,172498,1
26146.6504,172518.9063,1
26155.8008,172513.7969,1
26252.2793,172565.2031,1
26257.3691,172554.0938,1
26258.9102,172540.7969,1
26266.5391,172532.7031,1
26264.0195,172515.4063,1
26266.5703,172500.7031,1
26275.2305,172479.9063,1
26287.9395,172472.7969,1
26305.7305,172468.7031,1
26306.7598,172455.5,1
26313.3691,172447.9063,1
26318.4707,172431.7031,1
26317.4609,172419,1
26315.9492,172409.7969,1
26331.6992,172412.9063,1
26347.4395,172416.9063,1
26370.8203,172410.9063,1
