StatisticalSector,NIS9,PostCode,Municipality,NIS5,Arrondissement,NIS2,NUTS3,Province,NIS1_5,NUTS2,Region,NIS1,NUTS1
AARTSELAAR-CENTRUM,11001A00-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE LEEUWERIK,11001A01-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BUERSTEDE,11001A020,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
YSSELAAR,11001A030,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KLEINE GRIPPE,11001A042,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LEUG,11001A052,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
TEN DORPE,11001A063,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BRUINEN BAARD,11001A074,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KLEISTRAAT - OEVER,11001A091,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
CLEYDAEL-KASTEEL,11001A0MA,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ZINKVAL,11001A0PA,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
'T HEIKEN,11001A10-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
NOTELAAN,11001A173,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE REUKENS,11001A190,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE KOEKOEK,11001A20-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
VIERPALEN,11001A21-,2630,Aartselaar,11001,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STABROEK,1100212MQ,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),11002A00-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KLAPDORP - BROUWERSVLIET,11002A01-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GROENPLAATS (SPAANSE WALLEN),11002A02-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HOOGSTRAAT (SPAANSE WALLEN),11002A03-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
OUDAAN (SPAANSE WALLEN),11002A04-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GEVANGENIS (SPAANSE WALLEN),11002A05-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHELDEKADEN NOORD,11002A081,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
MEIR - LEYSSTRAAT (SP. WALLEN),11002A10-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KIPDORP-ST.-JACOBS (SP.WALLEN),11002A11-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
K.N.S.-NAT. BANK (SP. WALLEN),11002A12-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STADSWAAG-BEGIJNHOF(SP.WALLEN),11002A13-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
TABAKSVEST (SPAANSE WALLEN),11002A14-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HESSENHUIS (SPAANSE WALLEN),11002A15-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-ANDRIES (SPAANSE WALLEN),11002A21-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-MICHIELSKAAI (SP. WALLEN),11002A22-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LINKEROEVER-ZUID (LINKEROEVER),11002B701,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LINKEROEVER - STATION,11002B71-,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LINKEROEVER - STATION,11002B71-,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LINKEROEVER-NOORD,11002B721,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-ANNA (LINKEROEVER),11002B73-,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
THOENETLAAN (LINKEROEVER),11002B742,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GLORIANTLAAN (LINKEROEVER),11002B752,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GALGEWEEL (LINKEROEVER),11002B782,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-ANNABOS (LINKEROEVER ),11002B791,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BLANCEFLOERLAAN  (LINKEROEVER),11002B813,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
CHARLES DE COSTERLAAN(L.OEVER),11002B824,2050,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STATIEKWARTIER (STATIONSWIJK),11002C20-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STATIEKWARTIER (STATIONSWIJK),11002C20-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STATIEKWARTIER (STATIONSWIJK),11002C20-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ATHENEUM (STATIONSWIJK),11002C21-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ATHENEUM (STATIONSWIJK),11002C21-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE CONINCPLEIN-Z.(STATIONSW.),11002C22-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE CONINCPLEIN-Z.(STATIONSW.),11002C22-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
OFFERANDESTRAAT(STATIONSWIJK ),11002C23-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
PROVINCIESTRAAT(STATIONSWIJK ),11002C24-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
PROVINCIESTRAAT(STATIONSWIJK ),11002C24-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
PELIKAANSTRAAT (STATIONSWIJK ),11002C25-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STATION - ZOO (STATIONSWIJK ),11002C28-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STADSPARK (STATIONSWIJK ),11002C29-,,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
JEZUITENCOLLEGE(STATIONSWIJK ),11002C31-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
JEZUITENCOLLEGE(STATIONSWIJK ),11002C31-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DAMBRUGGESTRAAT-N.(STATIONSW.),11002C41-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DE ZAVEL (NOORDWIJK ),11002C42-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-WILLEBRORDUS (NOORDWIJK ),11002C43-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
POTGIETERSTRAAT (NOORDWIJK),11002C44-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STUIVENBERG ZIEKENHUIS(NOORDW),11002C45-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHIJNPOORT (DAM-SCHIJNPOORT ),11002C491,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
CHARLOTTALEI (OOSTWIJK),11002D30-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ASTRID BAD (OOSTWIJK),11002D31-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-VINCENTIUS (OOSTWIJK),11002D32-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STADSPARK-ZUID (OOSTWIJK),11002D33-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STADSPARK-ZUID (OOSTWIJK),11002D33-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),11002D34-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
VAN DIEPENBEECKSTR. (OOSTWIJK),11002D35-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GAS (OOSTWIJK),11002D38-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK),11002D41-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK),11002D42-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
WAALSE KAAI (ZUIDWIJK),11002E122,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
VLAAMSE KAAI (ZUIDWIJK),11002E131,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
MUSEUMWIJK (ZUIDWIJK),11002E14-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GERECHTSHOF (ZUIDWIJK),11002E15-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
OUDE SCHIPPERSDOKKEN(ZUIDWIJK),11002E19-,,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BELL (ZUIDWIJK),11002E50-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BELL (ZUIDWIJK),11002E50-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LANGE ELZENSTRAAT (ZUIDWIJK),11002E521,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
TROONPLAATS (ZUIDWIJK),11002E53-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
TROONPLAATS (ZUIDWIJK),11002E53-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GERECHTSHOF (ZUIDWIJK),11002E551,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GERECHTSHOF (ZUIDWIJK),11002E551,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SPHAGHETTIKNOOOP (KIEL),11002E5MJ,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SPHAGHETTIKNOOOP (KIEL),11002E5MJ,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-CATHARINA (KIEL),11002F11-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
MAURITS SABBELAAN (KIEL),11002F12-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KOLONIELAAN (CAM. HUYSMANSL.),11002F21-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
VOLHARDINGSSTRAAT (KIEL),11002F223,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KIEL - CENTRUM (KIEL),11002F60-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BOOMSE STWG-BEERSCHOT (KIEL),11002F61-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BEERSCHOT - STADION (KIEL),11002F62-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
JAN DE VOSLEI (KIEL),11002F64-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
PIUS X (KIEL),11002F65-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
PETROLEUM - SCHELDEKADEN-Z.,11002F6MJ,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
PETROLEUM - SCHELDEKADEN-Z.,11002F6MJ,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KIELSE POLDER (KIEL),11002F6NJ,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-LAURENTIUS (ZUIDWIJK),11002G51-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
FRANSEN PLAATS (ZUIDWIJK),11002G522,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HARMONIE (ZUIDWIJK),11002G53-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HARMONIE (ZUIDWIJK),11002G53-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KAREL OOMSTRAAT,11002G54-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KAREL OOMSTRAAT,11002G54-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
C. TEICHMANN PLAATS (ZUIDWIJK),11002G552,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ALBERTPARK (OOSTWIJK),11002G59-,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
WILRIJKSPL.-W. (WILRIJKSPLEIN),11002G72-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BLOKKEN-KRUISHOFSTR. (WILR.PL),11002G73-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DEN BRANDT (WILRIJKSPLEIN),11002G74-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
OOSTERVELD (WILRIJKSPEIN),11002G75-,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
NACHTEGALENPARK(WILRIJKSPLEIN),11002G780,2018,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
NACHTEGALENPARK(WILRIJKSPLEIN),11002G780,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-AMANDUS (NOORDWIJK),11002H40-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STUIVENBERG-WEST,11002H41-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-JANSPLEIN-TRAPSTR.(N.WIJK),11002H43-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ST.-JANSPLEIN-TRAPSTR.(N.WIJK),11002H43-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STUIVENBERGPLEIN (NOORDWIJK),11002H44-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STATION STUIVENBERG,11002H4MJ,,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SLACHTHUISWIJK (DAM-SCHIJNPOORT),11002H83-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DAM (DAM - SCHIJNPOORT),11002H84-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DAM- LOBROEKDOK (SCHIJNPOORT),11002H8MJ,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DAM- LOBROEKDOK (SCHIJNPOORT),11002H8MJ,2170,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
OUDE HAVEN,11002J072,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
OUDE HAVEN,11002J072,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
OUDE HAVEN,11002J072,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LUCHTBAL-ZUID,11002J80-,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LUCHTBAL-ZUID,11002J80-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LUCHTBAL-NOORD,11002J81-,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
IJZERLAAN (DAM - SCHIJNPORT),11002J820,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
IJZERLAAN (DAM - SCHIJNPORT),11002J820,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DUBOISSTRAAT (NOORDWIJK),11002J83-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DUBOISSTRAAT (NOORDWIJK),11002J83-,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
WILLEMDOK (SPAANSE WALLEN),11002J84-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
'T EILANDJE,11002J85-,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
'T EILANDJE,11002J85-,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HOUTDOK,11002J873,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HOUTDOK,11002J873,2060,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
POLDER (EKEREN),11002J881,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
POLDER (EKEREN),11002J881,2180,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHOONBROEK HANDBOOG,11002J901,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GR.HAGELKRUIS-L. BAEKELANDSTR.,11002J912,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GR.HAGELKRUIS-L. BAEKELANDSTR.,11002J912,2180,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHOONBROEK - TWEEKRONEN,11002J923,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DONKSE BEEK (EKEREN),11002J932,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LEUGENBERG-ZUID (EKEREN),11002J94-,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ALBERTDOK,11002K171,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
MARSHALL-EN INDUSTRIEDOK ESSO,11002K172,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
MARSHALL-EN INDUSTRIEDOK ESSO,11002K172,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LEOPOLDDOK FORD-FABRIEKEN,11002K173,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LUITHAGEN FORD-FABRIEKEN,11002K174,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LUITHAGEN FORD-FABRIEKEN,11002K174,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
CHURCHILLDOK-G. M. CONTIN.,11002K175,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
CHURCHILLDOK-G. M. CONTIN.,11002K175,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
WALENHOEK ANTWERPEN-NOORD (VORMINGSSTATION),11002K1MN,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
WALENHOEK ANTWERPEN-NOORD (VORMINGSSTATION),11002K1MN,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
LILLO - FORT,11002K214,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DISTRICT LILLO TUNNEL-NOORD,11002K271,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DISTRICT LILLO TUNNEL-ZUID,11002K272,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DISTRICT LILLO TUNNEL-ZUID,11002K272,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
DISTRICT LILLO TUNNEL-ZUID,11002K2MN,,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
ZANDVLIET-KERN(ZANDVL.-5 DIST),11002L000,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STALSHOEK(ZANDVLIET-5 DISTR. ),11002L011,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
GROTE RUIGEHEIDE(ZANDVL.-5DIS),11002L022,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HAVENGEBIED (ZANDVLIET-5 DIS),11002L070,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
NOORDLAANPOLDER-VERSPR. BEW. (ZANDVLIET - 5 DISTRICT),11002L090,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
BERENDRECHT - KERN (BERENDRECHT - 4 DISTRICT),11002L100,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
STEENHOVENSTRAAT (BERENDRECHT - 4 DISTRICT),11002L111,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
VISWATER(BERENDRECHT - 4 DIST),11002L122,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
HAVENGEBIED(BERENDRECHT - 4 D),11002L17-,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
KRAAIENBERG(BERENDRECHT - 4 D),11002L18-,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHELDE - CONTAINERTERMINAL,11002M0MA,,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHELDE,11002M0PA,2000,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHELDE,11002M0PA,2020,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHELDE,11002M0PA,2030,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
SCHELDE,11002M0PA,2040,Antwerpen,11002,Antwerpen,11,BE211,Antwerpen,1,BE21,Vlaanderen,2,BE2
